Timestamp,Name (optional),Age (optional),Sex,Q1 : Are you fond of outdoor activities?,Q2 : What outdoor activities do you enjoy? ,"Q3 : During this pandemic, are you still able to do these kinds of activities?",Q4 : How much time are you willing to spend on your preferred outdoor activity?,Q5 : Level of improvement to your physical strength,Q6 : Level of improvement to your mental strength,Q7 : Level of improvement to your social health,"Q8 : As a student, would you recommend doing these outdoor activities to your classmates and even professors?",,,,
9/10/2021 16:38:35,Nel,18,Male,Yes,Biking,Sometimes,0 - 2 hours a day,3,3,3,Yes,,,,
9/10/2021 16:42:46,,,Male,Yes,"Biking, Jogging",Sometimes,As long as I want,4,3,3,Yes,,,,
9/10/2021 16:45:02,,,Female,Yes,"Biking, Jogging",Sometimes,As long as I want,5,5,5,Yes,,,,
9/10/2021 16:53:13,,23,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping",Sometimes,As long as I want,4,4,4,Yes,,,,
9/10/2021 16:58:12,kai,18,Male,No,Jogging,Never,0 - 2 hours a day,2,2,2,Yes,,,,
9/10/2021 16:59:06,JOSHUA,18,Male,Yes,Jogging,Yes,0 - 2 hours a day,4,4,2,Yes,,,,
9/10/2021 17:08:50,,,Female,Yes,Jogging,Never,As long as I want,5,4,4,Yes,,,,
9/10/2021 17:22:11,,,Female,Yes,Hiking and Camping,Never,As long as I want,5,5,5,Yes,,,,
9/10/2021 17:58:08,,,Female,Yes,Biking,Sometimes,As long as I want,4,4,4,Yes,,,,
9/10/2021 18:11:37,Bimbo,18,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping",Sometimes,2 - 4 hours a day,4,4,5,Yes,,,,
9/10/2021 20:09:25,Daph,19,Female,Yes,"Biking, Jogging",Yes,0 - 2 hours a day,5,4,5,Yes,,,,
9/10/2021 20:12:02,George,23,Male,Yes,"Jogging, Basketball, Volleyball",Yes,2 - 4 hours a day,5,5,5,Yes,,,,
9/10/2021 20:16:53,,20,Female,Yes,Hiking and Camping,Sometimes,2 - 4 hours a day,4,4,5,Yes,,,,
9/10/2021 20:21:42,,,Female,Yes,Biking,Sometimes,2 - 4 hours a day,5,4,4,Yes,,,,
9/10/2021 21:12:34,Von,22,Male,Yes,"Basketball, Volleyball",Sometimes,As long as I want,5,5,5,Yes,,,,
9/10/2021 21:14:04,,21,Female,No,I don't enjoy them,Never,I am not willing to spend some time,4,4,4,Yes,,,,
9/10/2021 21:18:26,Raymond,23,Male,Yes,"Biking, Hiking and Camping",Yes,As long as I want,5,5,5,Yes,,,,
9/10/2021 21:56:25,Jara Pacia,21,Female,Yes,"Biking, Swimming",Sometimes,0 - 2 hours a day,3,4,4,Yes,,,,
9/10/2021 21:58:21,Ann Pacia,19,Female,Yes,"Biking, Jogging, Swimming",Sometimes,As long as I want,5,5,5,Yes,,,,
9/10/2021 22:09:48,MJ Macaraig,19,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping",Yes,As long as I want,5,5,5,Yes,,,,
9/11/2021 22:11:23,Joyce,21,Female,Yes,"Jogging, Swimming",Sometimes,0 - 2 hours a day,4,4,3,Yes,,,,
9/11/2021 22:13:15,Rodelyn Zuñiga,21,Female,Yes,"Biking, Swimming",Yes,0 - 2 hours a day,3,4,4,Yes,,,,
9/11/2021 22:22:45,Laine ,21,Female,Yes,Swimming,Sometimes,0 - 2 hours a day,4,5,4,Yes,,,,
9/11/2021 22:25:07,Dave Abarro,21,Male,Yes,"Biking, Jogging, Swimming",Yes,2 - 4 hours a day,5,5,5,Yes,,,,
9/11/2021 22:30:45,Aldrin Custodio,21,Male,Yes,Swimming,Yes,As long as I want,4,4,5,Yes,,,,
9/11/2021 22:34:17,Inchan,22,Male,Yes,"Jogging, Swimming",Sometimes,2 - 4 hours a day,4,5,4,Yes,,,,
9/11/2021 22:40:04,Rowin Manalo,21,Male,Yes,"Biking, Swimming",Yes,As long as I want,5,5,5,Yes,,,,
9/11/2021 22:41:53,Rege Condez,21,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping",Yes,As long as I want,5,5,5,Yes,,,,
9/11/2021 22:44:50,Ken Tolentino,21,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping",Yes,As long as I want,5,5,5,Yes,,,,
9/11/2021 22:52:18,Bernard Concepcion ,21,Male,Yes,"Swimming, Hiking and Camping",Yes,2 - 4 hours a day,5,4,4,Yes,,,,
9/11/2021 22:53:47,,,Female,Yes,Biking,Yes,As long as I want,5,3,4,Yes,,,,
9/11/2021 22:59:53,Renzo,23,Male,No,Travelling,Never,As long as I want,4,5,5,Yes,,,,
9/11/2021 23:02:57,JL Arellano,21,Male,Yes,"Biking, Swimming",Yes,2 - 4 hours a day,4,4,5,Yes,,,,
9/11/2021 23:09:17,Jam,,Female,Yes,"Jogging, Volleyball",Sometimes,As long as I want,5,5,5,Yes,,,,
9/11/2021 23:12:34,Yvonne Lingon,21,Female,No,"Biking, Swimming",Sometimes,0 - 2 hours a day,3,3,5,Yes,,,,
9/11/2021 23:14:52,Jefferson Peji,21,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping",Yes,As long as I want,5,5,5,Yes,,,,
9/11/2021 23:15:18,,,Male,Yes,Biking,Yes,2 - 4 hours a day,4,4,4,Yes,,,,
9/11/2021 23:16:47,Jenny De Jesus,16,Female,Yes,"Biking, Swimming",Sometimes,0 - 2 hours a day,4,5,4,Yes,,,,
9/11/2021 23:25:45,Yuan Igop,21,Male,Yes,Biking,Sometimes,As long as I want,4,4,4,Yes,,,,
9/11/2021 23:27:45,,21,Female,No,Jogging,Never,0 - 2 hours a day,4,4,4,No,,,,
9/11/2021 23:28:31,,19,Female,Yes,"Biking, Swimming",Sometimes,2 - 4 hours a day,5,4,3,Yes,,,,
9/11/2021 23:33:48,,24,Female,Yes,"Biking, Jogging",Sometimes,0 - 2 hours a day,4,4,4,Yes,,,,
9/11/2021 23:34:33,Bogart,22,Male,Yes,"Hiking and Camping, Trailing",Sometimes,2 - 4 hours a day,4,4,5,Yes,,,,
9/11/2021 23:36:33,Jason,21,Male,Yes,"Jogging, Basketball",Yes,As long as I want,5,3,5,Yes,,,,
9/11/2021 23:37:54,Andy,23,Male,No,I don't enjoy them,Never,I am not willing to spend some time,3,3,3,No,,,,
9/11/2021 23:39:49,,,Male,No,Biking,Never,As long as I want,4,3,4,Yes,,,,
9/11/2021 23:41:10,Jen,20,Female,Yes,"Biking, Jogging, Volleyball",Sometimes,2 - 4 hours a day,5,4,5,Yes,,,,
9/11/2021 23:41:56,Althea,22,Female,Yes,Volleyball,Sometimes,2 - 4 hours a day,5,5,5,Yes,,,,
9/11/2021 23:44:34,Junnie,21,Male,Yes,"Biking, Gym",Yes,0 - 2 hours a day,5,4,4,Yes,,,,
9/11/2021 23:45:07,,21,Male,No,Swimming,Never,As long as I want,5,3,3,Yes,,,,
9/11/2021 23:46:45,,18,Female,Yes,"Biking, Badminton",Never,As long as I want,5,3,5,Yes,,,,
9/11/2021 23:48:27,,,Male,Yes,Hiking and Camping,Never,As long as I want,5,4,5,Yes,,,,
9/11/2021 23:55:41,Paula,21,Female,Yes,Badminton,Never,As long as I want,5,4,5,Yes,,,,
9/11/2021 23:57:54,Krizel,,Female,Yes,Volleyball,Sometimes,0 - 2 hours a day,4,4,5,Yes,,,,
9/11/2021 23:59:24,Joharry,22,Male,Yes,Hiking and Camping,Never,As long as I want,5,3,5,Yes,,,,
9/11/2021 0:05:49,Efren,21,Male,No,I don't enjoy them,Never,I am not willing to spend some time,4,3,3,Yes,,,,
9/11/2021 0:06:21,,,Female,Yes,Jogging,Yes,0 - 2 hours a day,5,3,3,Yes,,,,
9/11/2021 0:17:27,Sofia,20,Female,No,"Jogging, I don't enjoy them",Never,0 - 2 hours a day,4,4,4,Yes,,,,
9/11/2021 0:23:42,,,Male,No,I don't enjoy them,Never,I am not willing to spend some time,3,3,3,No,,,,
9/11/2021 0:27:49,Jly,,Female,Yes,"Jogging, Basketball",Never,As long as I want,5,4,5,Yes,,,,
9/11/2021 0:28:37,,18,Female,Yes,"Jogging, Hiking and Camping",Sometimes,2 - 4 hours a day,4,4,5,Yes,,,,
9/11/2021 0:35:55,Kimjoseph,22,Male,Yes,"Biking, Jogging, Swimming, Hiking and Camping, Volleyball",Sometimes,As long as I want,5,5,5,Yes,,,,
9/11/2021 0:37:18,Nouel,18,Male,Yes,"Biking, Jogging, Basketball",Sometimes,As long as I want,5,4,5,Yes,,,,
9/11/2021 0:38:47,,21,Female,No,I don't enjoy them,Never,As long as I want,4,3,4,Yes,,,,
9/11/2021 0:44:32,Jelena,,Female,No,"Biking, Volleyball and Badminton",Never,As long as I want,5,4,5,Yes,,,,
9/11/2021 0:45:01,,24,Male,Yes,Biking,Sometimes,0 - 2 hours a day,5,3,3,Yes,,,,
9/11/2021 0:53:26,,,Female,Yes,"Biking, Jogging, Swimming",Sometimes,2 - 4 hours a day,4,4,3,Yes,,,,
9/11/2021 1:06:27,Pauline,21,Female,Yes,Badminton,Sometimes,0 - 2 hours a day,4,3,4,Yes,,,,
9/11/2021 1:12:52,,,Male,Yes,Basketball and Gym,Sometimes,As long as I want,5,4,4,Yes,,,,
9/11/2021 1:14:22,Guila,21,Female,Yes,"Biking, Jogging",Never,As long as I want,4,3,4,Yes,,,,
9/11/2021 1:19:47,Hie,21,Female,Yes,"Biking, Swimming",Sometimes,As long as I want,4,4,4,Yes,,,,
9/11/2021 1:23:59,,,Female,Yes,Swimming,Yes,As long as I want,4,3,3,Yes,,,,
9/11/2021 1:27:46,Dariel Delos Reyes,21,Male,Yes,Biking,Yes,As long as I want,5,5,5,Yes,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
